epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8882,1.69709,4.09591,1.73209,0.29517,0.3696,0.29551,0.15158,1.72016,2.4327,1.76426,0.000221737,0.000221737,0.000221737
2,114.375,1.70064,2.97423,1.70204,0.41005,0.45019,0.39602,0.20923,1.70255,2.93333,1.82515,0.000429416,0.000429416,0.000429416
3,168.008,1.66865,2.43554,1.67495,0.56963,0.55869,0.57087,0.32126,1.51137,1.7787,1.59385,0.000622421,0.000622421,0.000622421
4,220.678,1.63381,2.1288,1.65603,0.49806,0.44207,0.42267,0.22457,1.668,2.95095,1.78579,0.000600967,0.000600967,0.000600967
5,273.889,1.58598,1.8818,1.626,0.55263,0.47955,0.48685,0.27796,1.53815,2.06604,1.6646,0.000578956,0.000578956,0.000578956
6,326.244,1.55483,1.76446,1.59986,0.65818,0.59903,0.63893,0.33338,1.69241,1.64818,1.72796,0.000556945,0.000556945,0.000556945
7,378.886,1.50525,1.65408,1.56746,0.76677,0.61914,0.70966,0.42262,1.42016,1.33996,1.54492,0.000534934,0.000534934,0.000534934
8,431.902,1.46806,1.57078,1.54727,0.761,0.64528,0.72248,0.4422,1.37694,1.32193,1.55425,0.000512923,0.000512923,0.000512923
9,485.359,1.45315,1.47262,1.53334,0.73991,0.66141,0.73331,0.42987,1.5312,1.28471,1.58353,0.000490912,0.000490912,0.000490912
10,538.946,1.39771,1.42457,1.50109,0.81104,0.68909,0.78105,0.48547,1.41639,1.19411,1.50191,0.000468901,0.000468901,0.000468901
11,593.006,1.39258,1.37926,1.49201,0.81212,0.7065,0.80319,0.5146,1.32058,1.08276,1.42064,0.00044689,0.00044689,0.00044689
12,646.876,1.38074,1.32423,1.48428,0.80699,0.71095,0.78477,0.50749,1.31842,1.114,1.42978,0.000424879,0.000424879,0.000424879
13,700.554,1.34846,1.29038,1.45586,0.82915,0.72791,0.80056,0.52333,1.28446,1.04751,1.44162,0.000402868,0.000402868,0.000402868
14,754.596,1.33579,1.26547,1.45452,0.84188,0.72941,0.82145,0.53008,1.30826,1.03967,1.43397,0.000380857,0.000380857,0.000380857
15,808.606,1.30965,1.22406,1.43455,0.83872,0.76003,0.83806,0.55887,1.22425,0.97515,1.36934,0.000358846,0.000358846,0.000358846
16,862.756,1.30183,1.20344,1.4291,0.84064,0.74375,0.83173,0.55475,1.20068,0.98072,1.37157,0.000336835,0.000336835,0.000336835
17,916.785,1.28337,1.16667,1.41663,0.862,0.74488,0.84825,0.58087,1.13192,0.9265,1.34465,0.000314824,0.000314824,0.000314824
18,971.348,1.26003,1.13847,1.40897,0.85132,0.74273,0.84056,0.57222,1.18544,0.94034,1.35816,0.000292813,0.000292813,0.000292813
19,1025.07,1.24596,1.1152,1.39097,0.85828,0.76393,0.85689,0.59101,1.12598,0.91557,1.31225,0.000270802,0.000270802,0.000270802
20,1079.08,1.23315,1.08659,1.38382,0.88552,0.76874,0.86847,0.60293,1.12606,0.85214,1.31158,0.000248791,0.000248791,0.000248791
21,1160.49,1.14871,0.84636,1.37808,0.85547,0.78348,0.85023,0.56543,1.23679,0.8809,1.39678,0.00022678,0.00022678,0.00022678
22,1214.26,1.10355,0.7839,1.34329,0.87907,0.81005,0.8865,0.62805,1.08542,0.78991,1.26869,0.000204769,0.000204769,0.000204769
23,1268.51,1.09294,0.75265,1.33231,0.88851,0.81259,0.89299,0.63225,1.06559,0.77671,1.2788,0.000182758,0.000182758,0.000182758
24,1323.52,1.06825,0.72275,1.31563,0.89329,0.82036,0.88926,0.63544,1.07241,0.77236,1.27078,0.000160747,0.000160747,0.000160747
25,1379.26,1.04221,0.70147,1.29879,0.89767,0.83075,0.90228,0.65042,1.03728,0.71926,1.25203,0.000138736,0.000138736,0.000138736
26,1433.92,1.0305,0.67818,1.28965,0.87535,0.77842,0.85636,0.5732,1.24316,0.8118,1.40709,0.000116725,0.000116725,0.000116725
27,1489.02,1.01407,0.66001,1.27441,0.89393,0.84456,0.90836,0.65633,1.02345,0.70413,1.25124,9.4714e-05,9.4714e-05,9.4714e-05
28,1545.29,0.99397,0.63691,1.26405,0.89888,0.81407,0.89762,0.6551,1.02209,0.72675,1.24406,7.2703e-05,7.2703e-05,7.2703e-05
29,1600.61,0.97666,0.62969,1.24813,0.89862,0.84349,0.9097,0.66344,1.01266,0.69379,1.2362,5.0692e-05,5.0692e-05,5.0692e-05
30,1655.85,0.95447,0.60652,1.23407,0.9091,0.82969,0.90806,0.661,1.01337,0.69399,1.23861,2.8681e-05,2.8681e-05,2.8681e-05
